Sub-task Order (ignore - only used for sorting),Outcome Order (ignore - only used for sorting),Task Category,Task,Processing Stage,Sub-task,Outcome,Hazard,Rationale,Likely Causes,Mitigations,Notes
1,1,Communicate with teammate (receiver),Communicate with teammate ,Perception,Perceive speaker,Complete message heard,None,,,,
1,2,Communicate with teammate (receiver),Communicate with teammate ,Perception,Perceive speaker,Incomplete message heard,Perception error,,,,
1,3,Communicate with teammate (receiver),Communicate with teammate ,Perception,Perceive speaker,Message not heard,Perception error,,,,
2,1,Communicate with teammate (receiver),Communicate with teammate ,Encoding,Encode message,Correctly encode entire message,None,,,,
2,2,Communicate with teammate (receiver),Communicate with teammate ,Encoding,Encode message,Incorrectly encode some of message,Skill-based error; Perception Error,,,,
2,3,Communicate with teammate (receiver),Communicate with teammate ,Encoding,Encode message,Fail to encode some of message,Skill-based error; Perception Error,,,,
3,1,Communicate with teammate (receiver),Communicate with teammate ,Interpretation,Interpret meaning,Correctly interpret the speaker's intention,None,,,,
3,2,Communicate with teammate (receiver),Communicate with teammate ,Interpretation,Interpret meaning,Incorrectly interpret the speaker's intention,Skill-based error; Decision error; Knowledge error,,,,
1,1,Communicate with teammate (sender),Communicate with teammate ,Generate,Form intention,Pertinent intentions generated completely,None,,,,
1,2,Communicate with teammate (sender),Communicate with teammate ,Generate,Form intention,Pertinent intentions generated incompletely,Decision error; Violation,,,,
1,3,Communicate with teammate (sender),Communicate with teammate ,Generate,Form intention,Irrelevant intentions generated,Decision error; Violation,,,,
2,1,Communicate with teammate (sender),Communicate with teammate ,Transcribe,Transcribe message,Clearly transcribe complete intentions into words,None,,,,
2,2,Communicate with teammate (sender),Communicate with teammate ,Transcribe,Transcribe message,Clearly transcribe incomplete intentions into words,Skill-based error,forgotten intentions,,,
2,3,Communicate with teammate (sender),Communicate with teammate ,Transcribe,Transcribe message,Unclearly transcribe intentions into words,Skill-based error,manner or technique,,,
3,1,Communicate with teammate (sender),Communicate with teammate ,Transmit,Send message (speak),Complete message spoken clearly,None,,,,
3,2,Communicate with teammate (sender),Communicate with teammate ,Transmit,Send message (speak),Incomplete message spoken clearly,Skill-based error,forgotten intentions,,,
3,3,Communicate with teammate (sender),Communicate with teammate ,Transmit,Send message (speak),Message spoken unclearly,Skill-based error,manner or technique,,,
3,4,Communicate with teammate (sender),Communicate with teammate ,Transmit,Send message (speak),Message not spoken,Skill-based error; Violation,,,,
1,1,Discrete Control,Hold UAV,Info Acquisition,Perceive controls,All relevant information accurately extracted,None,,,,
1,2,Discrete Control,Hold UAV,Info Acquisition,Perceive controls,Inaccurate information acquired,Perception error,"""misjudgments"" or ""visual illusions""",Visual illusions,,
1,3,Discrete Control,Hold UAV,Info Acquisition,Perceive controls,Some relevant information not acquired,Skill-based error; Perception Error,"""breakdown in visual scan patterns""","Breakdown in visual scan pattern; Channelized attention, C2 Station Malfunction",,
2,1,Discrete Control,Hold UAV,Assessment,Determine appropriate control,Correct control identified,None,,,,
2,2,Discrete Control,Hold UAV,Assessment,Determine appropriate control,Incorrect control identified,Decision error,,,,
2,3,Discrete Control,Hold UAV,Assessment,Determine appropriate control,No control identified,Knowledge error,,,,
3,1,Discrete Control,Hold UAV,Decision,Confirm need to hold,Correctly choose to hold,None,,,,
3,2,Discrete Control,Hold UAV,Decision,Confirm need to hold,Correctly reject launch,None,,,,
3,3,Discrete Control,Hold UAV,Decision,Confirm need to hold,Incorrectly choose to launch,Decision error; Violation,,,,
3,4,Discrete Control,Hold UAV,Decision,Confirm need to hold,Incorrectly reject launch,Decision error; Violation,,,,
4,1,Discrete Control,Hold UAV,Execution,Execute the hold command,Command executed,None,,,,
4,2,Discrete Control,Hold UAV,Execution,Execute the hold command,Command not executed,Skill-based error; Violation,,,,
1,1,Discrete Control,Initiate ignition sphere drop mission,Info Acquisition,Perceive controls,All relevant information accurately extracted,None,,,,
1,2,Discrete Control,Initiate ignition sphere drop mission,Info Acquisition,Perceive controls,Inaccurate information acquired,Perception error,"""misjudgments"" or ""visual illusions""",Visual illusions,,
1,3,Discrete Control,Initiate ignition sphere drop mission,Info Acquisition,Perceive controls,Some relevant information not acquired,Skill-based error; Perception Error,"""breakdown in visual scan patterns""","Breakdown in visual scan pattern; Channelized attention, C2 Station Malfunction",,
2,1,Discrete Control,Initiate ignition sphere drop mission,Assessment,Determine appropriate control,Correct control identified,None,,,,
2,2,Discrete Control,Initiate ignition sphere drop mission,Assessment,Determine appropriate control,Incorrect control identified,Decision error,,,,
2,3,Discrete Control,Initiate ignition sphere drop mission,Assessment,Determine appropriate control,No control identified,Knowledge error,,,,
3,1,Discrete Control,Initiate ignition sphere drop mission,Decision,Confirm readiness to drop,Correctly choose to drop,None,,,,
3,2,Discrete Control,Initiate ignition sphere drop mission,Decision,Confirm readiness to drop,Correctly reject drop,None,,,,
3,3,Discrete Control,Initiate ignition sphere drop mission,Decision,Confirm readiness to drop,Incorrectly choose to drop,Decision error; Violation,,,,
3,4,Discrete Control,Initiate ignition sphere drop mission,Decision,Confirm readiness to drop,Incorrectly reject drop,Decision error; Violation,,,,
4,1,Discrete Control,Initiate ignition sphere drop mission,Execution,Execute the drop command,Command executed,None,,,,
4,2,Discrete Control,Initiate ignition sphere drop mission,Execution,Execute the drop command,Command not executed,Skill-based error; Violation,,,,
1,1,Discrete Control,Launch mission plan,Info Acquisition,Perceive controls,All relevant information accurately extracted,None,,,,
1,2,Discrete Control,Launch mission plan,Info Acquisition,Perceive controls,Inaccurate information acquired,Perception error,"""misjudgments"" or ""visual illusions""",Visual illusions,,
1,3,Discrete Control,Launch mission plan,Info Acquisition,Perceive controls,Some relevant information not acquired,Skill-based error; Perception Error,"""breakdown in visual scan patterns""","Breakdown in visual scan pattern; Channelized attention, C2 Station Malfunction",,
2,1,Discrete Control,Launch mission plan,Assessment,Determine appropriate control,Correct control identified,None,,,,
2,2,Discrete Control,Launch mission plan,Assessment,Determine appropriate control,Incorrect control identified,Decision error,,,,
2,3,Discrete Control,Launch mission plan,Assessment,Determine appropriate control,No control identified,Knowledge error,,,,
3,1,Discrete Control,Launch mission plan,Decision,Confirm readiness to launch,Correctly choose to launch,None,,,,
3,2,Discrete Control,Launch mission plan,Decision,Confirm readiness to launch,Correctly reject launch,None,,,,
3,3,Discrete Control,Launch mission plan,Decision,Confirm readiness to launch,Incorrectly choose to launch,Decision error; Violation,,,,
3,4,Discrete Control,Launch mission plan,Decision,Confirm readiness to launch,Incorrectly reject launch,Decision error; Violation,,,,
4,1,Discrete Control,Launch mission plan,Execution,Execute the launch command,Command executed,None,,,,
4,2,Discrete Control,Launch mission plan,Execution,Execute the launch command,Command not executed,Skill-based error; Violation,,,,
1,1,Discrete Control,Modify drop path,Info Acquisition,Perceive display,All relevant information accurately extracted,None,,,,
1,2,Discrete Control,Modify drop path,Info Acquisition,Perceive display,Inaccurate information acquired,Perception error,"""misjudgments"" or ""visual illusions""",Visual illusions,,
1,3,Discrete Control,Modify drop path,Info Acquisition,Perceive display,Some relevant information not acquired,Skill-based error; Perception Error,"""breakdown in visual scan patterns""","Breakdown in visual scan pattern; Channelized attention, C2 Station Malfunction",,
2,1,Discrete Control,Modify drop path,Assessment,Determine new drop path,Appropriate flight planned,None,,,,
2,2,Discrete Control,Modify drop path,Assessment,Determine new drop path,Inappropriate flight planned,Decision error,,,,
3,1,Discrete Control,Modify drop path,Decision,Decide how to position waypoints,All parameters chosen according to new flight plan,None,,,,
3,2,Discrete Control,Modify drop path,Decision,Decide how to position waypoints,Some parameters conflict with new flight plan,Decision error,mistranslation of route into waypoints,,,
3,3,Discrete Control,Modify drop path,Decision,Decide how to position waypoints,Some parameters not chosen,Skill-based error; Knowledge error,"""omitted items""; forgetting",,,
4,1,Discrete Control,Modify drop path,Execution,Program new drop path,All parameters programmed as planned,None,,,,
4,2,Discrete Control,Modify drop path,Execution,Program new drop path,Some parameters programmed not as planned,Skill-based error; Violation,,,,
4,3,Discrete Control,Modify drop path,Execution,Program new drop path,Some parameters not programmed,Skill-based error; Violation,,,,
1,1,Discrete Control,Modify flight plan,Info Acquisition,Perceive display,All relevant information accurately extracted,None,,,,
1,2,Discrete Control,Modify flight plan,Info Acquisition,Perceive display,Inaccurate information acquired,Perception error,"""misjudgments"" or ""visual illusions""",Visual illusions,,
1,3,Discrete Control,Modify flight plan,Info Acquisition,Perceive display,Some relevant information not acquired,Skill-based error; Perception Error,"""breakdown in visual scan patterns""","Breakdown in visual scan pattern; Channelized attention, C2 Station Malfunction",,
2,1,Discrete Control,Modify flight plan,Assessment,Determine new flight path,Appropriate flight planned,None,,,,
2,2,Discrete Control,Modify flight plan,Assessment,Determine new flight path,Inappropriate flight planned,Decision error,,,,
3,1,Discrete Control,Modify flight plan,Decision,Decide how to position waypoints,All parameters chosen according to new flight plan,None,,,,
3,2,Discrete Control,Modify flight plan,Decision,Decide how to position waypoints,Some parameters conflict with new flight plan,Decision error,mistranslation of route into waypoints,,,
3,3,Discrete Control,Modify flight plan,Decision,Decide how to position waypoints,Some parameters not chosen,Skill-based error; Knowledge error,"""omitted items""; forgetting",,,
4,1,Discrete Control,Modify flight plan,Execution,Program new flight plan,All parameters programmed as planned,None,,,,
4,2,Discrete Control,Modify flight plan,Execution,Program new flight plan,Some parameters programmed not as planned,Skill-based error; Violation,,,,
4,3,Discrete Control,Modify flight plan,Execution,Program new flight plan,Some parameters not programmed,Skill-based error; Violation,,,,
1,1,Discrete Control,Modify ignition/UAV parameters,Info Acquisition,Perceive controls,All relevant information accurately extracted,None,,,,
1,2,Discrete Control,Modify ignition/UAV parameters,Info Acquisition,Perceive controls,Inaccurate information acquired,Perception error,"""misjudgments"" or ""visual illusions""",Visual illusions,,
1,3,Discrete Control,Modify ignition/UAV parameters,Info Acquisition,Perceive controls,Some relevant information not acquired,Skill-based error; Perception Error,"""breakdown in visual scan patterns""","Breakdown in visual scan pattern; Channelized attention, C2 Station Malfunction",,
2,1,Discrete Control,Modify ignition/UAV parameters,Assessment,Determine appropriate control,Correct control identified,None,,,,
2,2,Discrete Control,Modify ignition/UAV parameters,Assessment,Determine appropriate control,Incorrect control identified,Decision error,,,,
2,3,Discrete Control,Modify ignition/UAV parameters,Assessment,Determine appropriate control,No control identified,Knowledge error,,,,
3,1,Discrete Control,Modify ignition/UAV parameters,Decision,Confirm need to change parameter,Correctly choose to change parameter,None,,,,
3,2,Discrete Control,Modify ignition/UAV parameters,Decision,Confirm need to change parameter,Correctly reject to change parameter,None,,,,
3,3,Discrete Control,Modify ignition/UAV parameters,Decision,Confirm need to change parameter,Incorrectly choose to change parameter,Decision error; Violation,,,,
3,4,Discrete Control,Modify ignition/UAV parameters,Decision,Confirm need to change parameter,Incorrectly reject to change parameter,Decision error; Violation,,,,
4,1,Discrete Control,Modify ignition/UAV parameters,Execution,Change the parameter,Command executed,None,,,,
4,2,Discrete Control,Modify ignition/UAV parameters,Execution,Change the parameter,Command not executed,Skill-based error; Violation,,,,
1,1,Discrete Control,Modify surveillance area,Info Acquisition,Perceive display,All relevant information accurately extracted,None,,,,
1,2,Discrete Control,Modify surveillance area,Info Acquisition,Perceive display,Inaccurate information acquired,Perception error,"""misjudgments"" or ""visual illusions""",Visual illusions,,
1,3,Discrete Control,Modify surveillance area,Info Acquisition,Perceive display,Some relevant information not acquired,Skill-based error; Perception Error,"""breakdown in visual scan patterns""","Breakdown in visual scan pattern; Channelized attention, C2 Station Malfunction",,
2,1,Discrete Control,Modify surveillance area,Assessment,Determine where surveillance is needed,Correctly determine where surveillance is needed,None,,,,
2,2,Discrete Control,Modify surveillance area,Assessment,Determine where surveillance is needed,Incorrectly determine where surveillance is needed,Skill-based error; Decision error,,,,
2,3,Discrete Control,Modify surveillance area,Assessment,Determine where surveillance is needed,Cannot determine where surveillance is needed,Skill-based error; Decision error; Knowledge error,,,,
3,1,Discrete Control,Modify surveillance area,Decision,Decide how to position new surveillance area,Appropriate surveillance area selected,None,,,,
3,2,Discrete Control,Modify surveillance area,Decision,Decide how to position new surveillance area,Inappropriate surveillance area selected,Decision error; Violation,,,,
4,1,Discrete Control,Modify surveillance area,Execution,Program new surveillance area,Correctly program new surveillance area,None,,,,
4,2,Discrete Control,Modify surveillance area,Execution,Program new surveillance area,Incorrectly program new surveillance area,Skill-based error,,,,
1,1,Discrete Control,Modify surveillance flight pattern,Info Acquisition,Perceive controls,All relevant information accurately extracted,None,,,,
1,2,Discrete Control,Modify surveillance flight pattern,Info Acquisition,Perceive controls,Inaccurate information acquired,Perception error,"""misjudgments"" or ""visual illusions""",Visual illusions,,
1,3,Discrete Control,Modify surveillance flight pattern,Info Acquisition,Perceive controls,Some relevant information not acquired,Skill-based error; Perception Error,"""breakdown in visual scan patterns""","Breakdown in visual scan pattern; Channelized attention, C2 Station Malfunction",,
2,1,Discrete Control,Modify surveillance flight pattern,Assessment,Determine appropriate control,Correct control identified,None,,,,
2,2,Discrete Control,Modify surveillance flight pattern,Assessment,Determine appropriate control,Incorrect control identified,Decision error,,,,
2,3,Discrete Control,Modify surveillance flight pattern,Assessment,Determine appropriate control,No control identified,Knowledge error,,,,
3,1,Discrete Control,Modify surveillance flight pattern,Decision,Confirm need to change flight pattern,Correctly choose to change flight parameter,None,,,,
3,2,Discrete Control,Modify surveillance flight pattern,Decision,Confirm need to change flight pattern,Correctly reject to change flight parameter,None,,,,
3,3,Discrete Control,Modify surveillance flight pattern,Decision,Confirm need to change flight pattern,Incorrectly choose change flight parameter,Decision error; Violation,,,,
3,4,Discrete Control,Modify surveillance flight pattern,Decision,Confirm need to change flight pattern,Incorrectly reject to change flight parameter,Decision error; Violation,,,,
4,1,Discrete Control,Modify surveillance flight pattern,Execution,Change the flight pattern,Command executed,None,,,,
4,2,Discrete Control,Modify surveillance flight pattern,Execution,Change the flight pattern,Command not executed,Skill-based error; Violation,,,,
1,1,Discrete Control,Return to launch,Info Acquisition,Perceive controls,All relevant information accurately extracted,None,,,,
1,2,Discrete Control,Return to launch,Info Acquisition,Perceive controls,Inaccurate information acquired,Perception error,"""misjudgments"" or ""visual illusions""",Visual illusions,,
1,3,Discrete Control,Return to launch,Info Acquisition,Perceive controls,Some relevant information not acquired,Skill-based error; Perception Error,"""breakdown in visual scan patterns""","Breakdown in visual scan pattern; Channelized attention, C2 Station Malfunction",,
2,1,Discrete Control,Return to launch,Assessment,Determine appropriate control,Correct control identified,None,,,,
2,2,Discrete Control,Return to launch,Assessment,Determine appropriate control,Incorrect control identified,Decision error,,,,
2,3,Discrete Control,Return to launch,Assessment,Determine appropriate control,No control identified,Knowledge error,,,,
3,1,Discrete Control,Return to launch,Decision,Confirm need to return,Correctly choose to return,None,,,,
3,2,Discrete Control,Return to launch,Decision,Confirm need to return,Correctly reject return,None,,,,
3,3,Discrete Control,Return to launch,Decision,Confirm need to return,Incorrectly choose to return,Decision error; Violation,,,,
3,4,Discrete Control,Return to launch,Decision,Confirm need to return,Incorrectly reject return,Decision error; Violation,,,,
4,1,Discrete Control,Return to launch,Execution,Execute the return command,Command executed,None,,,,
4,2,Discrete Control,Return to launch,Execution,Execute the return command,Command not executed,Skill-based error; Violation,,,,
1,1,Monitoring and Situation Assessment,Evaluate dynamic checklist,Info Acquisition,Read checklist item,Correctly read checklist item,None,,,,
1,2,Monitoring and Situation Assessment,Evaluate dynamic checklist,Info Acquisition,Read checklist item,Incorrectly read checklist item,Skill-based error; Perception Error,misjudgments,poor symbol recognition; identifying words similar in spelling,,
2,1,Monitoring and Situation Assessment,Evaluate dynamic checklist,Assessment,Determine status of checklist item,Correctly determine that the item has been completed,None,,,,
2,2,Monitoring and Situation Assessment,Evaluate dynamic checklist,Assessment,Determine status of checklist item,Correctly determine that the item has not been completed,None,,,,
2,3,Monitoring and Situation Assessment,Evaluate dynamic checklist,Assessment,Determine status of checklist item,Incorrectly determine that the item has been completed,Skill-based error; Decision error; Knowledge error,,,,
2,4,Monitoring and Situation Assessment,Evaluate dynamic checklist,Assessment,Determine status of checklist item,Incorrectly determine that the item has not been completed,Skill-based error; Decision error; Knowledge error,,,,
3,1,Monitoring and Situation Assessment,Evaluate dynamic checklist,Decision,Decide what further action is necessary,Correctly check off item,None,,,,
3,2,Monitoring and Situation Assessment,Evaluate dynamic checklist,Decision,Decide what further action is necessary,Correctly decide to initiate procedure,None,,,,
3,3,Monitoring and Situation Assessment,Evaluate dynamic checklist,Decision,Decide what further action is necessary,Incorrectly check off item,Decision error; Skill-based error,,,,
3,4,Monitoring and Situation Assessment,Evaluate dynamic checklist,Decision,Decide what further action is necessary,Incorrectly decide to initiate procedure,Decision error,,,,
1,1,Monitoring and Situation Assessment,Evaluate ignition mission progress,Info Acquisition,Perceive Display,All relevant information accurately extracted,None,,,,
1,2,Monitoring and Situation Assessment,Evaluate ignition mission progress,Info Acquisition,Perceive Display,Inaccurate information acquired,Perception error,"""misjudgments"" or ""visual illusions""",Visual illusions,,
1,3,Monitoring and Situation Assessment,Evaluate ignition mission progress,Info Acquisition,Perceive Display,Some relevant information not acquired,Skill-based error; Perception Error,"""breakdown in visual scan patterns""","Breakdown in visual scan pattern; Channelized attention, C2 Station Malfunction",,
2,1,Monitoring and Situation Assessment,Evaluate ignition mission progress,Info Acquisition,Recall mission plan,Recall all relevant information correctly,None,,,,
